ISSN,Journal,Subject,JourQual,FT,Cnrs,EJL,ABS,Den,Hceres,Scopus,ABDC,Fnege,Meta,JourQual_n,FT_n,Cnrs_n,EJL_n,ABS_n,Den_n,Hceres_n,Scopus_n,ABDC_n,Fnege_n,Meta_n,princomp1,h_index,citedness,JourQual2,unjournal_tier
0015-198X,Financial Analysts Journal,F&A,B,2,NA,S,3,2,A,3.3,A,2,B,4,2,NA,4,3,2,1,3.3,2,3,3,-0.8638331700208305,156,4.533333333333333,B,3
0046-3892,Financial Management,F&A,B,2,2,P,3,2,A,2.9,A,2,B,4,2,3,2,3,2,1,2.9,2,3,3,-1.792583379481024,136,2.3125,B,3
1934-4554,Financial Markets and Portfolio Management,F&A,C,2,NA,NA,2,1,C,0.8,B,4,NA,6,2,NA,NA,4,3,3,0.8,3,5,NA,2.562332801784722,37,1.6538461538461537,C,4
0963-8008,"Financial Markets, Institutions and Instruments",F&A,C,2,3,NA,3,1,B,0.9,B,3,NA,6,2,4,NA,3,3,2,0.9,3,4,NA,1.3686271541648705,NA,NA,C,4
0732-8516,Financial Review,F&A,B/C,2,4,S,3,1,B,1.1,A,3,B,5,2,5,4,3,3,2,1.1,2,4,3,1.0528146322536087,NA,NA,C,4
0015-2218,FinanzArchiv,Economics,B,2,4,NA,1,1,C,0.6,B,NA,NA,4,2,5,NA,5,3,3,0.6,3,NA,NA,2.2127829590823453,36,0.8571428571428571,B,4
0143-5671,Fiscal Studies,F&A,C,2,3,NA,2,1,B,2.4,B,NA,NA,6,2,4,NA,4,3,2,2.4,3,NA,NA,2.083219534563744,74,3.1343283582089554,C,4
1936-6582,Flexible Services and Manufacturing Journal,"OR,MS,POM",B,2,3,NA,1,1,B,4.8,C,4,NA,4,2,4,NA,5,3,2,4.8,4,5,NA,2.4761926023267433,46,2.3580246913580245,B,4
0950-3293,Food Quality and Preference,Marketing,NA,2,NA,NA,NA,2,NA,8.4,A,NA,NA,NA,2,NA,NA,NA,2,NA,8.4,2,NA,NA,-0.9855957956352235,165,5.457038391224863,NA,3
0016-3287,Futures,Innovation,NA,2,NA,NA,2,1,B,5.5,B,3,NA,NA,2,NA,NA,4,3,2,5.5,3,4,NA,1.6338684199303397,144,3.5524475524475525,NA,4
0899-8256,Games and Economic Behavior,Economics,NA,2,1,NA,3,2,A,2.2,A*,NA,NA,NA,2,2,NA,3,2,1,2.2,1,NA,NA,-2.703893439948945,160,1.240677966101695,NA,2
0891-2432,Gender and Society,PSM,NA,2,NA,NA,3,2,NA,5.0,A*,3,B,NA,2,NA,NA,3,2,NA,5,1,4,3,-1.296552657783863,NA,NA,NA,3
1754-2413,Gender in management,Gen & Strat,NA,2,NA,NA,1,1,NA,2.5,C,NA,NA,NA,2,NA,NA,5,3,NA,2.5,4,NA,NA,4.021559243799406,56,2.559322033898305,NA,5
0968-6673,"Gender, Work and Organization","OS/OB,HRM/IR",B,2,3,NA,3,2,B,3.3,A,2,B,4,2,4,NA,3,2,2,3.3,2,3,3,-0.9095852718543496,103,3.658536585365854,B,3
1018-5895,Geneva Papers on Risk and Insurance: Issues and Practic,eEconomics,B,2,3,NA,2,1,B,2.0,B,3,NA,4,2,4,NA,4,3,2,2,3,4,NA,1.0914651514463698,NA,NA,B,4
1554-964X,Geneva Risk and Insurance Review,F&A,C,2,2,NA,2,1,B,1.7,B,3,NA,6,2,3,NA,4,3,2,1.7,3,4,NA,1.3560700616780725,22,0.9,C,4
1465-6485,German Economic Review,Economics,B,2,3,NA,2,1,B,1.7,B,4,NA,4,2,4,NA,4,3,2,1.7,3,5,NA,1.5559785295043442,56,1.4523809523809523,B,4
2397-0022,German Journal of HRM,HRM/IR,C,2,NA,NA,2,1,NA,NA,B,NA,NA,6,2,NA,NA,4,3,NA,NA,3,NA,NA,2.378768403731429,NA,NA,C,4
1044-0283,Global Finance Journal,F&A,C,2,NA,NA,2,1,C,3.3,A,4,NA,6,2,NA,NA,4,3,3,3.3,2,5,NA,2.0357414953738378,60,6.5325443786982245,C,4
2042-5791,Global Strategy Journal,Gen & Strat,B,2,3,P,4,2,B,7.2,A,2,B,4,2,4,2,2,2,2,7.2,2,3,3,-1.7835018155382896,64,4.152941176470589,B,3
0952-1895,Governance,PSM,A,2,3,NA,4,2,B,5.1,NA,3,B,2,2,4,NA,2,2,2,5.1,NA,4,3,-1.8002866845411123,112,2.5776699029126213,A,3
1059-6011,Group and Organization Management,"OS/OB,HRM/IR",B,2,3,S,3,2,A,5.1,A,2,B,4,2,4,4,3,2,1,5.1,2,3,3,-0.5826112339603072,NA,NA,B,3
0926-2644,Group Decision and Negotiation,Gen & Strat,B,2,3,S,2,1,B,4.1,A,3,B,4,2,4,4,4,3,2,4.1,2,4,3,0.7660521894791497,80,3.532608695652174,B,4
1089-2699,Group Dynamics,Gen & Strat,NA,2,3,NA,2,1,B,2.0,B,3,NA,NA,2,4,NA,4,3,2,2,3,4,NA,1.5353981885528125,85,1.3833333333333333,NA,4
0017-4815,Growth and Change,Sociology,NA,2,3,NA,2,1,B,2.2,B,4,NA,NA,2,4,NA,4,3,2,2.2,3,5,NA,2.116959280238927,79,2.7198067632850242,NA,4
0017-8012,Harvard Business Review,Gen & Strat,C,1,NA,P*,3,1,A,2.8,A,2,B,6,1,NA,1,3,3,1,2.8,2,3,3,-2.0476675910789446,187,1.4545454545454546,C,3
0966-0410,Health and Social Care in the Community,PSM,NA,2,NA,NA,2,1,NA,3.5,NA,NA,NA,NA,2,NA,NA,4,3,NA,3.5,NA,NA,NA,1.6107510464662056,NA,NA,NA,4
1386-9620,Health Care Management Science,"MIS, KM",A,2,4,S,2,1,B,4.6,B,3,NA,2,2,5,4,4,3,2,4.6,3,4,NA,1.0313949368193747,77,2.711340206185567,A,4
1057-9230,Health Economics (United Kingdom),Economics,A,2,1,NA,3,2,A,4.6,A*,NA,B,2,2,2,NA,3,2,1,4.6,1,NA,3,-3.349514130568863,NA,NA,A,2
0168-8510,Health Policy,Economics,B,2,2,NA,2,2,A,4.3,A,2,B,4,2,3,NA,4,2,1,4.3,2,3,3,-0.9221423643411476,137,4.051630434782608,B,3
0957-4824,Health Promotion International,Marketing,NA,2,NA,NA,NA,1,NA,3.5,A,NA,NA,NA,2,NA,NA,NA,3,NA,3.5,2,NA,NA,0.7735035476598682,123,2.6397984886649875,NA,4
0951-4848,Health Services Management Research,PSM,C,2,4,NA,1,1,C,2.5,C,4,NA,6,2,5,NA,5,3,3,2.5,4,5,NA,3.684165386571868,43,1.6666666666666667,C,5
0018-1560,Higher Education,Education,C,2,NA,NA,2,2,NA,6.3,NA,NA,NA,6,2,NA,NA,4,2,NA,6.3,NA,NA,NA,1.3499884411164638,NA,NA,C,4
0951-5224,Higher Education Quarterly,PSM,NA,2,NA,NA,2,1,NA,3.4,C,NA,NA,NA,2,NA,NA,4,3,NA,3.4,4,NA,NA,2.902139409366896,64,2.685483870967742,NA,5
0018-2702,History of Political Economy,Economics,NA,2,1,NA,2,2,A,1.5,A,NA,NA,NA,2,2,NA,4,2,1,1.5,2,NA,NA,-1.2962451957348533,65,0.5231788079470199,NA,3
0360-3989,Human Communication Research,Comm,NA,2,NA,NA,NA,2,NA,7.4,A,NA,NA,NA,2,NA,NA,NA,2,NA,7.4,2,NA,NA,-0.9855957956352235,148,4.5423728813559325,NA,3
1547-8181,Human Factors,"OS/OB,HRM/IR",NA,2,NA,NA,3,1,NA,6.2,NA,NA,NA,NA,2,NA,NA,3,3,NA,6.2,NA,NA,NA,0.1780991811210273,184,2.857707509881423,NA,3
0018-7259,Human Organization,"OS/OB,HRM/IR",NA,2,NA,NA,2,2,NA,1.3,NA,NA,NA,NA,2,NA,NA,4,2,NA,1.3,NA,NA,NA,0.2845132621123332,91,0.475,NA,4
0895-9285,Human Performance,"OS/OB,HRM/IR",B,2,NA,NA,3,1,B,2.5,A,3,B,4,2,NA,NA,3,3,2,2.5,2,4,3,-0.06439918704391924,96,3.1470588235294117,B,3
0018-7267,Human Relations,"OS/OB,HRM/IR",B,1,2,P,4,2,A,7.1,A*,1,A,4,1,3,2,2,2,1,7.1,1,2,2,-4.076237867020694,228,4.265060240963855,B,2
1044-8004,Human Resource Development Quarterly,"OS/OB,HRM/IR",NA,2,NA,NA,2,1,NA,4.7,B,4,NA,NA,2,NA,NA,4,3,NA,4.7,3,5,NA,2.4100076420974883,96,2.925925925925926,NA,4
0090-4848,Human Resource Management,"OS/OB,HRM/IR",B,1,2,P,4,2,A,7.4,A*,1,A,4,1,3,2,2,2,1,7.4,1,2,2,-4.076237867020694,NA,NA,B,2
0954-5395,Human Resource Management Journal,"OS/OB,HRM/IR",B,2,3,S,4*,2,A,7.8,A,2,B,4,2,4,4,1,2,1,7.8,2,3,3,-1.3586742011080999,113,4.936619718309859,B,3
1053-4822,Human Resource Management Review,"OS/OB,HRM/IR",B,2,3,P,3,2,A,11.0,A,2,B,4,2,4,2,3,2,1,11,2,3,3,-1.3954703319643933,140,7.666666666666667,B,3
0199-8986,Human Resource Planning,"OS/OB,HRM/IR",NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,3.588239541619105,38,0,NA,5
0737-0024,Human-Computer Interaction,"MIS, KM",C,2,NA,NA,1,2,NA,8.9,A,NA,B,6,2,NA,NA,5,2,NA,8.9,2,NA,3,1.6595649817041627,113,3.5208333333333335,C,4
0018-8670,IBM Systems Journal,"MIS, KM",C,2,NA,NA,NA,NA,NA,NA,A,NA,NA,6,2,NA,NA,NA,NA,NA,NA,2,NA,NA,0.20671931394072998,118,0,C,4
1541-1672,IEEE Intelligent Systems,"MIS, KM",NA,2,NA,NA,NA,2,NA,9.0,NA,NA,NA,NA,2,NA,NA,NA,2,NA,9,NA,NA,NA,-1.0212357357474136,134,3.0953947368421053,NA,3
0018-9286,IEEE Transactions on Automatic Control,"MIS, KM",NA,2,NA,NA,NA,2,NA,12.9,NA,NA,NA,NA,2,NA,NA,NA,2,NA,12.9,NA,NA,NA,-1.0212357357474136,445,6.011251758087201,NA,3
1558-0040,IEEE Transactions on Engineering Management,"OR,MS,POM",B,2,3,P,3,1,A,4.3,A,2,B,4,2,4,2,3,3,1,4.3,2,3,3,-0.8271972428515391,135,4.134426229508197,B,3
1524-9050,IEEE Transactions on Intelligent Transportation Systems,"OR,MS,POM",NA,2,NA,S,NA,2,NA,13.5,A,NA,B,NA,2,NA,4,NA,2,NA,13.5,2,NA,3,-0.061554610620959,211,8.830309498399146,NA,3
1041-4347,IEEE Transactions on Knowledge and Data Engineering,"MIS, KM",NA,2,NA,P,NA,2,A,13.3,NA,2,NA,NA,2,NA,2,NA,2,1,13.3,NA,3,NA,-2.392517369454933,232,7.998048780487805,NA,3
0098-5589,IEEE Transactions on Software Engineering,"MIS, KM",B,2,NA,NA,NA,2,A,14.9,NA,2,NA,4,2,NA,NA,NA,2,1,14.9,NA,3,NA,-1.40734199205711,300,4.266265060240964,B,3
0740-817X,IIE Transactions (Institute of Industrial Engineers),"MIS, KM",A,2,NA,P,3,1,NA,NA,A,NA,B,2,2,NA,2,3,3,NA,NA,2,NA,3,-2.0964331114919523,NA,NA,A,3
0019-7939,ILR Review,"OS/OB,HRM/IR",A/B,2,2,NA,3,2,A,5.6,A*,2,A,3,2,3,NA,3,2,1,5.6,1,3,2,-2.20806429817765,NA,NA,B,3
2041-4161,IMF Economic Review,Economics,NA,2,3,NA,3,1,NA,3.3,A,NA,NA,NA,2,4,NA,3,3,NA,3.3,2,NA,NA,0.3435807895434471,63,3.972972972972973,NA,4
0960-6491,Industrial and Corporate Change,Economics,B,2,1,P,3,2,A,4.2,A,2,B,4,2,2,2,3,2,1,4.2,2,3,3,-2.189696426997655,167,3.464788732394366,B,3
0263-5577,Industrial Management and Data Systems,"OR,MS,POM",C,2,3,NA,2,1,B,7.1,A,3,B,6,2,4,NA,4,3,2,7.1,2,4,3,1.3569205199618808,NA,NA,C,4
0019-8501,Industrial Marketing Management,Marketing,B,2,2,S,3,2,A,8.8,A*,2,A,4,2,3,4,3,2,1,8.8,1,3,2,-1.4033157389639817,209,7.739039665970773,B,3
0019-8676,Industrial Relations,"OS/OB,HRM/IR",NA,2,1,P,4,2,A,2.9,A*,1,A,NA,2,2,2,2,2,1,2.9,1,2,2,-3.742463116842806,98,1.9206349206349207,NA,2
0019-8692,Industrial Relations Journal,"OS/OB,HRM/IR",NA,2,NA,NA,3,1,NA,0.5,A,NA,B,NA,2,NA,NA,3,3,NA,0.5,2,NA,3,-3.491240833502107e-4,62,1.6629213483146068,NA,3
1366-2716,Industry and Innovation,Innovation,B,2,3,S,3,2,B,5.9,B,3,B,4,2,4,4,3,2,2,5.9,3,4,3,0.23333907427944278,83,3.2738095238095237,B,4
0378-7206,Information and Management,"MIS, KM",B,2,2,P,3,2,A,12.3,A*,2,A,4,2,3,2,3,2,1,12.3,1,3,2,-2.216174836968068,NA,NA,B,3
1471-7727,Information and Organization,F&A,B,2,2,NA,3,2,A,9.7,A*,2,A,4,2,3,NA,3,2,1,9.7,1,3,2,-1.8423564371635472,74,5.434782608695652,B,3
0950-5849,Information and Software Technology,"MIS, KM",NA,2,NA,NA,NA,2,NA,8.6,A,NA,NA,NA,2,NA,NA,NA,2,NA,8.6,2,NA,NA,-0.9855957956352235,142,4.858381502890174,NA,3
0167-6245,Information Economics and Policy,Economics,NA,2,2,NA,2,1,A,3.6,A,NA,NA,NA,2,3,NA,4,3,1,3.6,2,NA,NA,0.31542336627170475,77,4.803030303030303,NA,4
0306-4573,Information Processing and Management,"MIS, KM",NA,2,NA,S,2,2,NA,8.6,B,NA,B,NA,2,NA,4,4,2,NA,8.6,3,NA,3,1.000502622918161,NA,NA,NA,4
0020-0190,Information Processing Letters,"MIS, KM",NA,2,NA,NA,NA,2,NA,2.3,C,NA,NA,NA,2,NA,NA,NA,2,NA,2.3,4,NA,NA,1.9616562487657923,138,0.6257668711656442,NA,4
1040-1628,Information Resources Management Journal,"MIS, KM",D,2,NA,NA,1,1,NA,1.6,C,NA,NA,8,2,NA,NA,5,3,NA,1.6,4,NA,NA,5.10295085786863,54,0.8191489361702128,D,5
0197-2243,Information Society,"MIS, KM",NA,2,NA,NA,3,2,NA,4.8,A,NA,B,NA,2,NA,NA,3,2,NA,4.8,2,NA,3,-1.0993084566163815,NA,NA,NA,3
0306-4379,Information Systems,"MIS, KM",B,2,NA,NA,NA,2,NA,7.3,NA,NA,NA,4,2,NA,NA,NA,2,NA,7.3,NA,NA,NA,-1.1549137410771628,112,3.6907630522088355,B,3
1387-3326,Information Systems Frontiers,"MIS, KM",B,2,NA,NA,3,1,B,8.5,A,3,B,4,2,NA,NA,3,3,2,8.5,2,4,3,-0.06439918704391924,95,8.422794117647058,B,3
1350-1917,Information Systems Journal,"MIS, KM",A,2,2,S,4,2,A,12.3,A*,1,A,2,2,3,4,2,2,1,12.3,1,2,2,-2.739067830954034,NA,NA,A,2
1058-0530,Information Systems Management,"MIS, KM",C,2,NA,NA,2,2,NA,3.4,B,NA,NA,6,2,NA,NA,4,2,NA,3.4,3,NA,NA,1.5813915443562994,81,2.42,C,4
1047-7047,Information Systems Research,"MIS, KM",A+,1,1,P*,4*,2,A,7.3,A*,1*,A+,1,1,2,1,1,2,1,7.3,1,1,1,-6.493213434361143,217,4.133079847908745,A+,1
1385-951X,Information Technology and Management,"MIS, KM",C,2,NA,NA,1,1,NA,4.3,B,4,NA,6,2,NA,NA,5,3,NA,4.3,3,5,NA,3.1113521498069465,58,2.796875,C,5
0959-3845,Information Technology and People,"MIS, KM",NA,2,3,NA,3,2,B,4.4,A,3,B,NA,2,4,NA,3,2,2,4.4,2,4,3,-0.25523924632674894,NA,NA,NA,3
0167-6687,Insurance: Mathematics and Economics,"MIS, KM",B,2,3,NA,3,2,B,2.7,A*,3,B,4,2,4,NA,3,2,2,2.7,1,4,3,-0.9110322473090698,NA,NA,B,3
0092-2102,Interfaces,"OR,MS,POM",B,2,NA,P,2,1,NA,1.6,B,3,NA,4,2,NA,2,4,3,NA,1.6,3,4,NA,0.18970335079730494,NA,NA,B,3
1091-9856,Interfaces (formerly INFORMS Journal on Computing),"OR,MS,POM",A,2,NA,NA,NA,2,NA,NA,B,NA,NA,2,2,NA,NA,NA,2,NA,NA,3,NA,NA,-2.3527942231489414,NA,NA,A,3
0969-5931,International Business Review,IB,B,2,2,S,3,2,A,8.9,A,2,B,4,2,3,4,3,2,1,8.9,2,3,3,-0.9797242814769381,146,6.5,B,3
0020-6598,International Economic Review,Economics,B,2,1,NA,4,2,A,2.6,A*,1,NA,4,2,2,NA,2,2,1,2.6,1,2,NA,-3.2279343463277295,189,1.6641221374045803,B,2
0020-7063,International Journal of Accounting,F&A,B,2,3,NA,3,1,B,3.4,A,3,B,4,2,4,NA,3,3,2,3.4,2,4,3,0.17125107862397027,NA,NA,B,3
1094-4060,International Journal of Accounting Information Systems,F&A,C,2,NA,NA,2,1,NA,6.4,A,4,B,6,2,NA,NA,4,3,NA,6.4,2,5,3,2.0357414953738378,77,5.148936170212766,C,4
0265-0487,International Journal of Advertising,Marketing,C,2,3,NA,2,2,B,6.2,A,3,B,6,2,4,NA,4,2,2,6.2,2,4,3,0.7405975475415353,99,5.6891891891891895,C,4
1090-6738,International Journal of Auditing,F&A,B,2,3,NA,2,1,B,2.7,A,3,NA,4,2,4,NA,4,3,2,2.7,2,4,NA,0.6255047979336751,64,1.7340425531914894,B,4
0265-2323,International Journal of Bank Marketing,Marketing,D,2,4,NA,1,1,C,6.2,A,4,NA,8,2,5,NA,5,3,3,6.2,2,5,NA,3.4739141511542684,128,7.691780821917808,D,5
2329-4884,International Journal of Business Communication,Comm,NA,2,NA,NA,NA,1,NA,NA,C,NA,NA,NA,2,NA,NA,NA,3,NA,NA,4,NA,NA,3.7207555920608852,39,3.4754098360655736,NA,5
1368-4892,International Journal of Business Performance Manageme,nGen & Strat,D,2,NA,NA,1,1,NA,1.2,NA,NA,NA,8,2,NA,NA,5,3,NA,1.2,NA,NA,NA,4.708544077910329,NA,NA,D,5
1815-4654,International Journal of Central Banking,Economics,NA,2,3,NA,3,1,B,2.4,A,NA,NA,NA,2,4,NA,3,3,2,2.4,2,NA,NA,0.3435807895434471,51,3.1875,NA,4
0951-192X,International Journal of Computer Integrated Manufacturin,"MIS, KM",NA,2,NA,NA,2,1,NA,6.4,B,NA,NA,NA,2,NA,NA,4,3,NA,6.4,3,NA,NA,2.0106050598580265,NA,NA,NA,4
1044-4068,International Journal of Conflict Management,Gen & Strat,NA,2,NA,NA,2,1,NA,2.8,A,NA,NA,NA,2,NA,NA,4,3,NA,2.8,2,NA,NA,1.1190707103491604,2,0.6666666666666666,NA,4
0959-6119,International Journal of Contemporary Hospitality Manage,mTourism,NA,2,3,NA,3,1,B,9.3,A,NA,NA,NA,2,4,NA,3,3,2,9.3,2,NA,NA,0.3435807895434471,NA,NA,NA,4
1470-5958,International Journal of Cross Cultural Management,"OS/OB,HRM/IR",C,2,4,NA,1,1,C,2.1,B,4,NA,6,2,5,NA,5,3,3,2.1,3,5,NA,3.2084587826387576,66,2.203125,C,5
1086-4415,International Journal of Electronic Commerce,"MIS, KM",B,2,2,P,3,1,A,6.0,A,2,B,4,2,3,2,3,3,1,6,2,3,3,-1.2243102903681697,105,3.411764705882353,B,3
1039-6993,International Journal of Employment Studies,"OS/OB,HRM/IR",NA,2,NA,NA,1,1,NA,NA,C,NA,NA,NA,2,NA,NA,5,3,NA,NA,4,NA,NA,4.021559243799406,11,0,NA,5
1355-2554,International Journal of Entrepreneurial Behaviour and Re,sEntrep,C,2,4,NA,3,1,B,6.2,B,3,NA,6,2,5,NA,3,3,2,6.2,3,4,NA,1.8354379659613733,NA,NA,C,4
1465-7503,International Journal of Entrepreneurship and Innovation,Entrep,C,2,4,NA,2,1,C,3.1,C,4,NA,6,2,5,NA,4,3,3,3.1,4,5,NA,3.2201654168417475,47,2.2142857142857144,C,5
1076-9307,International Journal of Finance and Economics,F&A,NA,2,3,NA,3,1,B,2.1,B,3,NA,NA,2,4,NA,3,3,2,2.1,3,4,NA,0.9737199399989522,NA,NA,NA,4
0169-2070,International Journal of Forecasting,Economics,C,2,2,NA,3,2,A,5.4,A,3,B,6,2,3,NA,3,2,1,5.4,2,4,3,-0.3380425087831462,168,7.851851851851852,C,3
0020-7276,International Journal of Game Theory,Economics,A,2,2,NA,2,1,A,1.2,A,NA,NA,2,2,3,NA,4,3,1,1.2,2,NA,NA,-1.0073092537954642,93,0.5625,A,3
0278-4319,International Journal of Hospitality Management,Tourism,NA,2,NA,NA,3,1,B,9.4,A*,3,NA,NA,2,NA,NA,3,3,2,9.4,1,4,NA,-0.40428370329436475,191,11.041666666666666,NA,3
1071-5819,International Journal of Human Computer Studies,"OR,MS,POM",NA,2,3,S,2,2,B,8.0,B,4,B,NA,2,4,4,4,2,2,8,3,5,3,1.373453419317998,NA,NA,NA,4
0958-5192,International Journal of Human Resource Management,"OS/OB,",B,2,3,S,3,2,A,6.9,A,2,B,4,2,4,4,3,2,1,6.9,2,3,3,-0.5826112339603072,170,6.074235807860262,B,3
0167-7187,International Journal of Industrial Organization,"OS/OB,HRM/IR",B,2,1,P,3,2,A,2.6,A,NA,B,4,2,2,2,3,2,1,2.6,2,NA,3,-2.2356164898015107,144,1.7086614173228347,B,3
0268-4012,International Journal of Information Management,"MIS, KM",C,2,3,S,2,2,A,18.1,A*,3,B,6,2,4,4,4,2,1,18.1,1,4,3,0.32954940054270127,200,21.51953125,C,4
1363-9196,International Journal of Innovation Management,Innovation,B,2,4,NA,2,1,C,3.3,NA,4,NA,4,2,5,NA,4,3,3,3.3,NA,5,NA,1.8051336992169267,76,0.9774011299435028,B,4
0147-1767,International Journal of Intercultural Relations,"OS/OB,HRM/IR",NA,2,NA,NA,1,1,NA,3.6,A,4,NA,NA,2,NA,NA,5,3,NA,3.6,2,5,NA,2.5013202251820896,150,2.8405797101449277,NA,4
0957-4093,International Journal of Logistics Management,"OR,MS,POM",C,2,3,NA,1,1,B,7.6,A,3,B,6,2,4,NA,5,3,2,7.6,2,4,3,1.8111742392715857,NA,NA,C,4
1367-5567,International Journal of Logistics Research and Application,"OR,MS,POM",C,2,3,NA,1,1,B,5.4,B,3,NA,6,2,4,NA,5,3,2,5.4,3,4,NA,2.2771345927842805,NA,NA,C,4
1460-8545,International Journal of Management Reviews,Gen & Strat,B,2,2,NA,3,2,A,20.8,A,2,B,4,2,3,NA,3,2,1,20.8,2,3,3,-1.3803648533456099,152,7.127906976744186,B,3
1743-9132,International Journal of Managerial Finance,F&A,NA,2,NA,NA,2,1,NA,2.5,A,NA,NA,NA,2,NA,NA,4,3,NA,2.5,2,NA,NA,1.1190707103491604,41,1.9166666666666667,NA,4
0143-7720,International Journal of Manpower,"OS/OB,HRM/IR",C,2,3,NA,2,1,B,2.3,A,3,NA,6,2,4,NA,4,3,2,2.3,2,4,NA,1.3569205199618808,96,5.370588235294117,C,4
1470-7853,International Journal of Market Research,Marketing,D,2,4,NA,2,1,B,2.1,A,3,NA,8,2,5,NA,4,3,2,2.1,2,4,NA,2.5551470537865892,69,3.976470588235294,D,4
0144-3577,International Journal of Operations and Production Manag,"OR,MS,POM",B,2,2,P,4,2,A,10.7,A,1,A,4,2,3,2,2,2,1,10.7,2,2,2,-2.572973713807627,NA,NA,B,3
0960-0035,International Journal of Physical Distribution and Logistics,"MOR,MS,POM",B,2,2,S,2,1,A,9.1,A,2,B,4,2,3,4,4,3,1,9.1,2,3,3,-0.02341970879018742,NA,NA,B,3
0925-5273,International Journal of Production Economics,"OR,MS,POM",B,2,1,S,3,2,A,12.2,A,1,B,4,2,2,4,3,2,1,12.2,2,2,3,-1.7691961797462752,247,10.771144278606965,B,3
0020-7543,International Journal of Production Research,"OR,MS,POM",B,2,2,S,3,1,A,10.8,A,2,B,4,2,3,4,3,3,1,10.8,2,3,3,-0.4114511923640838,214,7.503105590062112,B,3
0263-7863,International Journal of Project Management,"OR,MS,POM",C,2,2,NA,2,2,A,16.4,A,2,B,6,2,3,NA,4,2,1,16.4,2,3,3,-0.19072664231294184,NA,NA,C,3
0190-0692,International Journal of Public Administration,PSM,C,2,3,NA,2,1,B,2.4,B,3,NA,6,2,4,NA,4,3,2,2.4,3,4,NA,1.8228808734745756,69,2.0271317829457365,C,4
1471-6909,International Journal of Public Opinion Research,Marketing,NA,2,3,NA,NA,2,B,3.7,A,NA,B,NA,2,4,NA,NA,2,2,3.7,2,NA,3,-0.16318550931800807,75,1.5731707317073171,NA,3
0951-3558,International Journal of Public Sector Management,PSM,C,2,3,NA,1,1,B,3.0,B,4,NA,6,2,4,NA,5,3,2,3,3,5,NA,2.7416479708422545,85,2.691358024691358,C,5
0265-671X,International Journal of Quality and Reliability Managemen,"tOR,MS,POM",NA,2,3,NA,2,1,B,4.2,B,3,NA,NA,2,4,NA,4,3,2,4.2,3,4,NA,1.5353981885528125,NA,NA,NA,4
0167-8116,International Journal of Research in Marketing,Marketing,A,2,2,P*,4,2,A,8.8,A*,1,A,2,2,3,1,2,2,1,8.8,1,2,2,-3.958356477960163,156,6.316546762589928,A,2
0959-0552,International Journal of Retail and Distribution Manageme,nMarketing,C,2,3,NA,2,1,B,4.6,A,3,B,6,2,4,NA,4,3,2,4.6,2,4,3,1.3569205199618808,NA,NA,C,4
0965-075X,International Journal of Selection and Assessment,"OS/OB,HRM/IR",NA,2,NA,S,2,1,C,2.1,A,4,B,NA,2,NA,4,4,3,3,2.1,2,5,3,1.6455624301231484,84,2.8,NA,4
0306-8293,International Journal of Social Economics,Economics,NA,2,NA,NA,1,1,B,1.6,B,NA,NA,NA,2,NA,NA,5,3,2,1.6,3,NA,NA,3.130024894290536,65,2.3991228070175437,NA,5
1072-5245,International Journal of Stress Management,"Psych, OS/OB",NA,2,NA,NA,2,1,NA,5.0,A,4,NA,NA,2,NA,NA,4,3,NA,5,2,5,NA,1.7610611287174547,87,1.6629213483146068,NA,4
0267-5730,International Journal of Technology Management,Innovation,C,2,3,NA,2,2,B,2.0,B,3,NA,6,2,4,NA,4,2,2,2,3,4,NA,1.20655790105423,73,0.657608695652174,C,4
1357-1516,International Journal of the Economics of Business,Economics,C,2,3,NA,2,1,B,1.3,B,NA,NA,6,2,4,NA,4,3,2,1.3,3,NA,NA,2.083219534563744,59,2.269230769230769,C,4
0219-0249,International Journal of Theoretical and Applied Finance,F&A,B,2,3,NA,2,1,B,0.9,B,3,NA,4,2,4,NA,4,3,2,0.9,3,4,NA,1.0914651514463698,61,0.4868421052631579,B,4
1099-2340,International Journal of Tourism Research,Tourism,NA,2,NA,NA,2,1,NA,5.3,A,NA,NA,NA,2,NA,NA,4,3,NA,5.3,2,NA,NA,1.1190707103491604,NA,NA,NA,4
1360-3736,International Journal of Training and Development,"OS/OB,HRM/IR",NA,2,NA,NA,2,1,NA,2.9,C,NA,NA,NA,2,NA,NA,4,3,NA,2.9,4,NA,NA,2.902139409366896,64,1.4137931034482758,NA,5
0309-1317,International Journal of Urban and Regional Research,Sociology,NA,2,3,NA,2,2,B,6.1,B,3,NA,NA,2,4,NA,4,2,2,6.1,3,4,NA,0.8411294895283747,151,1.5689655172413792,NA,4
0020-7780,International Labour Review,"OS/OB,HRM/IR",NA,2,3,NA,2,1,B,2.2,B,3,NA,NA,2,4,NA,4,3,2,2.2,3,4,NA,1.5353981885528125,65,1.978021978021978,NA,4
0265-1335,International Marketing Review,Marketing,B,2,3,S,3,1,A,5.7,A,2,NA,4,2,4,4,3,3,1,5.7,2,3,NA,-0.014338144847452959,138,4.524193548387097,B,3
